images,specification,feature,product_name
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Sub-Compact Tractors/GC1700 Series Sub-Compact/Gallery/Massey-Ferguson-GC1700-tractor-with-CB65-backhoe.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Sub-Compact Tractors/GC1700 Series Sub-Compact/Gallery/massey-ferguson-gc1700-series-subcompact-tractor-with-dl95-loader-cb65-backhoe.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Sub-Compact Tractors/GC1700 Series Sub-Compact/Gallery/Massey-Ferguson-GC1700-tractor-with-DL95-loader-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Sub-Compact Tractors/GC1700 Series Sub-Compact/Gallery/massey-ferguson-gc1700-series-subcompact-tractor-with-dl95-loader-and-cb65-backhoe.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Sub-Compact Tractors/GC1700 Series Sub-Compact/Gallery/massey-ferguson-gc1700-sub-compact-tractor-mid-mount-mower.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Sub-Compact Tractors/GC1700 Series Sub-Compact/Gallery/massey-ferguson-gc1700-series-subcompact-tractor-with-dl95-loader.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Rated Engine': '22.5 @ 2,600 rpm', u'Rear Lift Capacity @ 24"" Behind (lbs)': '550', u'Transmission': '2-Range Hydrostatic', u'PTO HP': '18.7', u'Emissions Level': 'Tier 4 Final', u'Model': 'GC1705'}, {u'Rated Engine': '22.5 @ 2,600 rpm', u'Rear Lift Capacity @ 24"" Behind (lbs)': '550', u'Transmission': '2-Range Hydrostatic', u'PTO HP': '18.7', u'Emissions Level': 'Tier 4 Final', u'Model': 'GC1710'}, {u'Rated Engine': '25 @ 3,000 rpm', u'Rear Lift Capacity @ 24"" Behind (lbs)': '550', u'Transmission': '2-Range Hydrostatic', u'PTO HP': '19.6', u'Emissions Level': 'Tier 4 Final', u'Model': 'GC1715'}, {u'Rated Engine': '25 @ 3,000 rpm', u'Rear Lift Capacity @ 24"" Behind (lbs)': '550', u'Transmission': '2-Range Hydrostatic', u'PTO HP': '19.6', u'Emissions Level': 'Tier 4 Final', u'Model': 'GC1720'}]","Innovation,Capability,Comfort",Massey Ferguson | GC1700 Series Sub-Compact Tractor
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/Hesston By MF WR Series Windrowers/Gallery/hesston-by-massey-ferguson-wr9800-series-self-propelled-windrowers-gallery-4.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/Hesston By MF WR Series Windrowers/Gallery/hesston-by-massey-ferguson-wr9800-series-self-propelled-windrowers-gallery-3.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/Hesston By MF WR Series Windrowers/Gallery/Hesston_By_Massey_Ferguson_WR_Series_Windrower_7_1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/Hesston By MF WR Series Windrowers/Gallery/Hesston_By_Massey_Ferguson_WR_Series_Windrower_4_1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/Hesston By MF WR Series Windrowers/Gallery/Hesston_By_Massey_Ferguson_WR_Series_Windrower_6_1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/Hesston By MF WR Series Windrowers/Gallery/hesston-by-massey-ferguson-wr9800-series-self-propelled-windrowers-gallery-1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/Hesston By MF WR Series Windrowers/Gallery/hesston-by-massey-ferguson-wr9800-series-self-propelled-windrowers-gallery-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/Hesston By MF WR Series Windrowers/Gallery/hesston-by-massey-ferguson-9800-series-windrower-cab-gallery-image.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Engine': '6.6L AGCO POWER', u'Headers': 'All', u'Model': 'WR9870', u'Rated hp (kW)': '225 (168)', u'Boosted hp (kW)': '240 (179)'}, {u'Engine': u'4.9L AGCO POWER with QuadBoost\u2122 Technology', u'Headers': 'All', u'Model': 'WR9860', u'Rated hp (kW)': '197 (147)', u'Boosted hp (kW)': '208 (155)'}, {u'Engine': '4.4L AGCO POWER', u'Headers': 'Draper, Auger', u'Model': 'WR9840', u'Rated hp (kW)': '137 (103)', u'Boosted hp (kW)': '148 (110)'}]","Innovation,Capability",Massey Ferguson | WR9800 Series Windrower
,"[{u'Folding': 'No', u'Model': '3206', u'Rows': '6', u'Row Spacing': '30""', u'Chopper': 'No'}, {u'Folding': 'No', u'Model': '3206C', u'Rows': '6', u'Row Spacing': '30""', u'Chopper': 'Yes'}, {u'Folding': 'Yes', u'Model': '3212F', u'Rows': '12', u'Row Spacing': '30""', u'Chopper': 'No'}, {u'Folding': 'Yes', u'Model': '3212FC', u'Rows': '12', u'Row Spacing': '30""', u'Chopper': 'Yes'}]",,Massey Ferguson | 3200 Command Series Corn Heads
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 4200 Pickup Heads/Gallery/massey-ferguson-4200-pickup-header-with-9560-harvesting-canola-a.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 4200 Pickup Heads/Gallery/massey-ferguson-4200-pickup-header-with-9560-harvesting-canola-b.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Model': '4200-13', u'Header Width ft (m)': '13 (4.0)'}, {u'Model': '4200-15', u'Header Width ft (m)': '15 (4.6)'}]",,Massey Ferguson | 4200 Pickup Heads
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 3000 Corn Heads/Gallery/massey-ferguson-3000-corn-head-c.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 3000 Corn Heads/Gallery/massey-ferguson-3000-corn-head-a.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 3000 Corn Heads/Gallery/massey-ferguson-3000-corn-head-d.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 3000 Corn Heads/Gallery/massey-ferguson-3000-corn-head-e.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 3000 Corn Heads/Gallery/massey-ferguson-3000-corn-head-b.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Model': 'MF3000-6', u'Size': '6 rows'}, {u'Model': 'MF3000-8', u'Size': '8 Rows'}, {u'Model': 'MF3000-12', u'Size': '12 Rows'}]",,Massey Ferguson | 3000 Corn Heads
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/wr9900-series/gallery/hesston-by-massey-ferguson-wr9900-self-propelled-windrower-alfalfa-idaho-2017-DJI-0069.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/wr9900-series/gallery/hesston-by-massey-ferguson-wr9900-self-propelled-windrower-alfalfa-idaho-2017-IMG-9702.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/wr9900-series/gallery/hesston-by-massey-ferguson-wr9900-self-propelled-windrower-alfalfa-idaho-2017-IMG-9440.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/wr9900-series/gallery/hesston-by-massey-ferguson-wr9900-self-propelled-windrower-alfalfa-idaho-2017-IMG-9666.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/wr9900-series/gallery/hesston-by-massey-ferguson-wr9900-self-propelled-windrower-alfalfa-idaho-2017-IMG-9802.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/wr9900-series/gallery/hesston-by-massey-ferguson-wr9900-self-propelled-windrower-details-idaho-2017-Cab-8890.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/wr9900-series/gallery/hesston-by-massey-ferguson-wr9900-self-propelled-windrower-alfalfa-idaho-2017-IMG-0716.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/wr9900-series/gallery/hesston-by-massey-ferguson-wr9900-self-propelled-windrower-alfalfa-idaho-2017-DJI-0008.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Engine': 'AGCO Power 7.4 L', u'Rated hp (kW)': '265 (198)', u'Weight (approximate)': '11,420 (5,180)', u'Max hp (kW)': '282 (211)', u'Headers': u'Disc (13\u2019, 16\u2019), Draper, Auger', u'Model': 'WR9980'}, {u'Engine': 'AGCO Power 7.4 L', u'Rated hp (kW)': '235 (175)', u'Weight (approximate)': '11,420 (5,180)', u'Max hp (kW)': '250 (186)', u'Headers': u'Disc (13\u2019, 16\u2019), Draper, Auger', u'Model': 'WR9970'}, {u'Engine': 'AGCO Power 4.9 L', u'Rated hp (kW)': '197 (147)', u'Weight (approximate)': '11,305 (5,127)', u'Max hp (kW)': '208 (155)', u'Headers': u'Disc (13\u2019, 16\u2019), Draper, Auger', u'Model': 'WR9960'}, {u'Engine': 'AGCO Power 4.9 L', u'Rated hp (kW)': '160 (119)', u'Weight (approximate)': '11,250 (5,103)', u'Max hp (kW)': '173 (129)', u'Headers': u'Disc (13\u2019), Draper, Auger', u'Model': 'WR9950'}]","Innovation,Capability,Comfort",Hesston by Massey Ferguson WR9900 Series Windrower
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Compact Tractors/1500 Series Compact/gallery/massey-ferguson-1526-compact-tractor-gallery-panel3.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Compact Tractors/1500 Series Compact/gallery/massey-ferguson-1526-compact-tractor-gallery-panel .jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Compact Tractors/1500 Series Compact/gallery/massey-ferguson-1526-compact-tractor-gallery-panel2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Tractors/Compact Tractors/1500 Series Compact/gallery/massey-ferguson-1526-compact-tractor-gallery-panel4.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Engine': '3-cylinder Diesel', u'Transmission': '3 Range Hydrostatic with Cruise', u'PTO HP @ 2,200 Rated RPM (kW)': '20.1 (15)', u'Lift Capacity @ 24"" Behind lbs': '992', u'Model': '1526', u'Gross Engine Power HP (kW) @ Rated RPM': '24.8 (18.5)'}]","Versatility,Ease of Use,Comfort",MF1526 Compact Tractor | Massey Ferguson
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 8200 Series Flex Heads/Gallery/massey-ferguson-8200-flex-head-a.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 8200 Series Flex Heads/Gallery/massey-ferguson-8200-flex-head-b.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Model': '8200-20', u'Auger diameter in (mm)': '30 (762)', u'Header Width ft (m)': '20 (6.1)'}, {u'Model': '8200-25', u'Auger diameter in (mm)': '30 (762)', u'Header Width ft (m)': '25 (7.6)'}, {u'Model': '8200-30', u'Auger diameter in (mm)': '30 (762)', u'Header Width ft (m)': '30 (9.1)'}, {u'Model': '8200-35', u'Auger diameter in (mm)': '30 (762)', u'Header Width ft (m)': '35 (10.6)'}]",,Massey Ferguson | 8200 Flex Heads
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/triple-windrower-attachment/gallery/hesston-by-massey-ferguson-TWA-series-windrower-hay-cutting-(94).jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/triple-windrower-attachment/gallery/hesston-by-massey-ferguson-TWA-series-windrower-hay-cutting-(104).jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/triple-windrower-attachment/gallery/hesston-by-massey-ferguson-TWA-series-windrower-hay-cutting-(28).jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/triple-windrower-attachment/gallery/hesston-by-massey-ferguson-TWA-series-windrower-hay-cutting-(131).jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/triple-windrower-attachment/gallery/hesston-by-massey-ferguson-TWA-series-windrower-hay-cutting-(16).jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/triple-windrower-attachment/gallery/hesston-by-massey-ferguson-TWA-series-windrower-hay-cutting-(7).jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/SP Windrowers/triple-windrower-attachment/gallery/hesston-by-massey-ferguson-TWA-series-windrower-hay-cutting-(84).jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Table Height in\xa0(mm)': u'Bottom:\xa024\xa0(609.6)', u'Belt Speed Variance ft/sec': 'Adjustable from 0 to 8 degrees', u'Table Float': 'Adjustable from 2"" (50 mm) to 5"" (127 mm) when table is down', u'Table Width in\xa0(mm)': u'Top:\xa035.6\xa0(905.1)', u'Angle of Outer Pivot in\xa0(mm)': '47.4 (1,211.4)', u'Ground Clearance in\xa0(mm)': u'10.1\u201334.2', u'Table Length in\xa0(mm)': '128.3 (3,258.5)'}]","Innovation,Capability",Massey Ferguson | Triple Windrow Attachment
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9250 DynaFlex Draper Headers/Gallery/massey-ferguson-9250-dynaflex-draper-headers-e.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9250 DynaFlex Draper Headers/Gallery/massey-ferguson-9250-series-gallery-d.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9250 DynaFlex Draper Headers/Gallery/massey-ferguson-9250-series-gallery-c.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9250 DynaFlex Draper Headers/Gallery/massey-ferguson-9250-series-gallery-b.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Combine Harvesting/MF 9250 DynaFlex Draper Headers/Gallery/massey-ferguson-9250-series-gallery-a.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Cutting Width ft (m)': '25 (7.6)', u'Model': '9250-25', u'Reel': 'Yes', u'Cutterbar': 'Dynamax std./ SCH opt.'}, {u'Cutting Width ft (m)': '30 (9.1)', u'Model': '9250-30', u'Reel': 'Yes', u'Cutterbar': 'Dynamax std./ SCH opt.'}, {u'Cutting Width ft (m)': '35 (10.7)', u'Model': '9250-35', u'Reel': 'Yes', u'Cutterbar': 'Dynamax std./ SCH opt.'}, {u'Cutting Width ft (m)': '40 (12.1)', u'Model': '9250-40', u'Reel': 'Yes', u'Cutterbar': 'Dynamax std./ SCH opt.'}]","Innovation,Capability",Massey Ferguson | 9250 DynaFlex Draper Header
